,direct_distance,full_road_diversity,max_angle,max_pivot_off,mean_angle,mean_pivot_off,mean_road_diversity,median_angle,median_pivot_off,min_angle,min_pivot_off,num_l_turns,num_r_turns,num_straights,road_distance,safety,std_angle,std_pivot_off,test_duration,total_angle,test_id
467,917.6338846347358,4776.603661051632,11.011625725561915,2933.185956416492,1.3546517039978927,419.026565202356,682.3719515788046,0.0,0.0,-0.8663137736870179,0.0,1,0,6,1874.0250488949578,NOT_EXECUTED,4.2739534702367346,1108.6400842550256,,9.482561927985248,destHigh5\00272_test.json
468,916.8396379805769,9521.549557473882,112.05486468418373,5254.860802227965,23.94112458656348,1064.3179813834743,1904.3099114947763,2.8924600143896733,0.0,-3.058311568874075,0.0,2,0,3,2235.3371818354067,NOT_EXECUTED,49.41969357059316,2342.762845270708,,119.70562293281739,destHigh5\00271_test.json
469,902.0671944486594,2941.591782045117,10.133688509906714,1305.8278954905602,-6.982129526905082,231.7067069388581,490.26529700751945,0.0,0.0,-51.6702771948014,0.0,1,1,4,1280.5465967713524,NOT_EXECUTED,22.292719160303744,527.291939741146,,-41.89277716143049,destHigh5\00270_test.json
470,797.9278711691392,3346.270962719042,12.00467141195708,1984.319407788414,1.615207005671394,330.71990129806903,557.7118271198403,0.0,0.0,-2.754240739072238,0.0,1,0,5,1481.4700656000264,NOT_EXECUTED,5.219941194820461,810.0950059638851,,9.691242034028365,destHigh5\00269_test.json
471,849.9393389526933,9020.005217378195,7.076619916524624,4718.564466799241,0.6703867562069293,1449.3215130881372,1002.2228019309106,0.0,0.0,-7.20488038432018,0.0,2,1,6,2857.2629456814598,NOT_EXECUTED,4.29586833749694,2179.9782027572865,,6.033480805862364,destHigh5\00268_test.json
472,264.3951339635066,2033.3436396584648,20.860028840743542,1610.8204232802636,4.970133425336572,378.3071269661161,338.8906066097441,0.0,0.0,0.0,0.0,2,0,4,599.293558575804,NOT_EXECUTED,8.569981042036995,658.8406764674344,,29.82080055201943,destHigh5\00267_test.json
473,800.0061212503854,13092.330057562922,16.912212148023002,2846.0614010855134,4.024201482131026,970.7536728287237,1636.5412571953652,0.0,0.0,-0.8540958664107547,0.0,3,0,5,2566.7946360834894,NOT_EXECUTED,6.408666537191041,1348.751566561265,,32.19361185704821,destHigh5\00266_test.json
474,961.6235469894725,8592.819271964556,11.496821748163901,6717.562054291312,1.6109740386168339,1308.2265527946515,954.7576968849506,0.0,0.0,-5.92122489939191,0.0,2,1,6,2297.1026769839505,NOT_EXECUTED,5.230230101532212,2526.4277879601746,,14.498766347551506,destHigh5\00265_test.json
475,692.976291708212,2644.522657775289,8.848418779075127,2501.7326942148843,2.2315440404526647,416.95544903581407,440.75377629588155,0.007796017451270482,0.0,0.0,0.0,1,0,5,1376.1924002524497,NOT_EXECUTED,3.7119790885421446,1021.3280956107807,,13.389264242715988,destHigh5\00264_test.json
476,817.5995756687006,13273.658077860542,15.614671077618809,3081.558310080432,2.751021888906817,513.593051680072,2212.2763463100905,0.0,0.0,-1.1532157075305662,0.0,1,0,5,2203.436283049542,NOT_EXECUTED,6.386232543933334,1258.0409120550469,,16.5061313334409,destHigh5\00263_test.json
