Instances,feature_mean_pivot_off,feature_min_pivot_off,feature_num_r_turns,feature_uturns,algo_safety
0,0.5379453959698439,0.0,0.8,0.0,1
1,0.0,0.0,0.0,0.0,1
2,0.38821824255390286,0.0,0.4000000000000001,0.0,1
3,0.1584333361119652,0.0,1.0000000000000002,0.0,0
4,0.9999999999999998,0.0,0.0,0.0,1
5,0.13747512008905854,0.0,1.0000000000000002,0.0,1
6,0.5379453959698439,0.0,0.8,0.0,1
7,0.0,0.0,0.0,0.0,1
8,0.38821824255390286,0.0,0.4000000000000001,0.0,1
9,0.1584333361119652,0.0,1.0000000000000002,0.0,0
10,0.9999999999999998,0.0,0.0,0.0,1
11,0.13747512008905854,0.0,1.0000000000000002,0.0,1
12,0.5379453959698439,0.0,0.8,0.0,1
13,0.0,0.0,0.0,0.0,1
14,0.38821824255390286,0.0,0.4000000000000001,0.0,1
15,0.1584333361119652,0.0,1.0000000000000002,0.0,0
16,0.9999999999999998,0.0,0.0,0.0,1
17,0.13747512008905854,0.0,1.0000000000000002,0.0,1
18,0.5379453959698439,0.0,0.8,0.0,1
19,0.0,0.0,0.0,0.0,1
20,0.38821824255390286,0.0,0.4000000000000001,0.0,1
21,0.1584333361119652,0.0,1.0000000000000002,0.0,0
22,0.9999999999999998,0.0,0.0,0.0,1
23,0.13747512008905854,0.0,1.0000000000000002,0.0,1
