Instances,feature_max_angle,feature_mean_pivot_off,feature_min_pivot_off,feature_num_r_turns,feature_road_distance,feature_std_angle,feature_uturns,algo_safety
0,0.183414389203176,0.5379458017239938,0.0,0.8,0.0,0.4756160404239401,0.0,0
1,0.9999999999999999,0.0,0.0,0.0,0.9999999999999998,0.6026306034593325,0.0,0
2,0.0,0.3882228573277463,0.0,0.4000000000000001,0.8305620604325197,1.0,0.0,0
3,0.32135988281666517,0.15843407758731332,0.0,1.0000000000000002,0.2533069300921855,0.5278348713688217,0.0,0
4,0.6110144653620192,0.9999999999999998,0.0,0.0,0.05489260644858662,0.0,0.0,1
5,0.16848692259300058,0.13747591488718275,0.0,1.0000000000000002,0.09805154781590453,0.5699557878389567,0.0,0
6,0.183414389203176,0.5379458017239938,0.0,0.8,0.0,0.4756160404239401,0.0,0
7,0.9999999999999999,0.0,0.0,0.0,0.9999999999999998,0.6026306034593325,0.0,0
8,0.0,0.3882228573277463,0.0,0.4000000000000001,0.8305620604325197,1.0,0.0,0
9,0.32135988281666517,0.15843407758731332,0.0,1.0000000000000002,0.2533069300921855,0.5278348713688217,0.0,0
10,0.6110144653620192,0.9999999999999998,0.0,0.0,0.05489260644858662,0.0,0.0,1
11,0.16848692259300058,0.13747591488718275,0.0,1.0000000000000002,0.09805154781590453,0.5699557878389567,0.0,0
12,0.183414389203176,0.5379458017239938,0.0,0.8,0.0,0.4756160404239401,0.0,0
13,0.9999999999999999,0.0,0.0,0.0,0.9999999999999998,0.6026306034593325,0.0,0
14,0.0,0.3882228573277463,0.0,0.4000000000000001,0.8305620604325197,1.0,0.0,0
15,0.32135988281666517,0.15843407758731332,0.0,1.0000000000000002,0.2533069300921855,0.5278348713688217,0.0,0
16,0.6110144653620192,0.9999999999999998,0.0,0.0,0.05489260644858662,0.0,0.0,1
17,0.16848692259300058,0.13747591488718275,0.0,1.0000000000000002,0.09805154781590453,0.5699557878389567,0.0,0
18,0.183414389203176,0.5379458017239938,0.0,0.8,0.0,0.4756160404239401,0.0,0
19,0.9999999999999999,0.0,0.0,0.0,0.9999999999999998,0.6026306034593325,0.0,0
20,0.0,0.3882228573277463,0.0,0.4000000000000001,0.8305620604325197,1.0,0.0,0
21,0.32135988281666517,0.15843407758731332,0.0,1.0000000000000002,0.2533069300921855,0.5278348713688217,0.0,0
22,0.6110144653620192,0.9999999999999998,0.0,0.0,0.05489260644858662,0.0,0.0,1
23,0.16848692259300058,0.13747591488718275,0.0,1.0000000000000002,0.09805154781590453,0.5699557878389567,0.0,0
