Instances,feature_avg_Segment_length,feature_min_pivot_off,feature_num_l_turns,feature_std_pivot_off,feature_total_angle,feature_uturns,algo_safety
0,0.6608106949575281,0.0,0.0,0.10147895694803569,0.171149650481314,0.0,0
1,1.0000000000000002,0.0,0.25,0.049473277313311054,1.0,0.0,0
2,0.7854691313696831,0.0,0.25,0.05168863845885391,0.9752134486893591,0.0,0
3,0.0,1.0,0.25,0.033893972171756825,0.29320454070818935,0.0,0
4,0.15442652179783845,0.0,0.5,1.0,0.48321117029005867,0.0,1
5,0.32581036468534785,0.0,0.25,0.08283740056469308,0.01130268214562774,0.0,1
6,0.25407866434619963,0.0,1.0,0.06596634224786546,0.0,0.0,1
7,0.8286731440853516,0.0,0.5,0.0,0.13282000004465414,0.0,1
