Instances,feature_num_r_turns,feature_total_angle,feature_mean_pivot_off,feature_std_pivot_off,feature_min_pivot_off,feature_duration_seconds,algo_safety
0,0.41666666666666663,0.6305084745762712,0.655591467356173,0.49558419676250254,0.0,0.7153196010727592,1
1,0.5,0.7220338983050847,0.20358588779641407,0.40548428595851416,0.0,0.10965227044791381,0
2,0.41666666666666663,0.5118644067796609,0.4303296703296703,0.5566761955404536,0.0,0.20017007414705823,0
3,0.24999999999999997,0.09491525423728814,0.7403846153846153,0.5704816681624598,0.0,0.6032722395237922,1
4,0.6666666666666666,0.6711864406779662,0.4738461538461537,0.46185741152443693,0.5,0.543518537878837,1
5,0.41666666666666663,0.5050847457627119,0.6914285714285714,0.523265852272975,0.5,0.6761692717777745,1
6,0.16666666666666666,0.5593220338983051,0.4704987320371935,0.6073982631866297,0.0,0.2704326416514211,0
7,0.5,0.39999999999999997,0.6334065934065934,0.7171871796249396,0.0,0.578144779501278,1
8,0.5833333333333334,0.27796610169491526,0.6043956043956044,0.37654285462943915,0.5,0.54183420473338,1
9,0.5833333333333334,0.352542372881356,0.37230769230769223,0.5397608264907177,0.0,0.27602805530824714,0
10,0.5,0.5016949152542374,0.35961538461538456,0.46731647488205197,0.0,0.5484932318062206,1
11,0.6666666666666666,0.6644067796610169,0.37593406593406586,0.5460303141645417,0.0,0.5273173596649587,0
12,0.41666666666666663,0.8101694915254238,0.318102949681897,0.3859672461531274,0.0,0.2749558553785516,0
13,0.41666666666666663,0.8203389830508474,0.444071717755928,0.6168033269522013,0.0,0.18043337161432726,0
14,0.5833333333333334,0.3898305084745763,0.4140109890109889,0.6318123942453193,0.0,0.580364819336147,1
15,0.41666666666666663,0.6474576271186441,0.3612152553329022,0.4435387835765976,0.0,0.6445259587896719,0
16,0.41666666666666663,0.49491525423728816,0.4593406593406594,0.34960581679924285,0.0,0.5989596684897822,1
17,0.41666666666666663,0.5525423728813559,0.33241758241758235,0.5849909052545916,0.0,0.6388894041525384,1
19,0.24999999999999997,0.09152542372881356,0.7403846153846153,0.28574119994152214,0.5,0.413033287772374,1
20,0.5,0.5627118644067797,0.5915966386554622,0.6149268065482147,0.0,0.7185484142489893,0
22,0.41666666666666663,0.24745762711864405,0.4412087912087911,0.4734322788070753,0.5,0.5137990846252047,1
24,0.33333333333333337,0.43389830508474575,0.4537616229923923,0.516630172191842,0.0,0.5099601483076623,1
25,0.33333333333333337,0.3457627118644068,0.5137362637362636,0.4906488800527269,0.0,0.519092571990543,0
26,0.5,0.42372881355932207,0.2562637362637362,0.4929745469958837,0.0,0.24199364951935498,0
27,0.5833333333333334,0.4067796610169491,0.5228021978021976,0.22518687400346538,0.5,0.6306093831280335,1
28,0.33333333333333337,0.25084745762711863,0.4659340659340657,0.3493479283270994,0.5,0.5247877902135112,1
29,0.24999999999999997,0.3152542372881356,0.7230769230769228,0.6178931927102225,0.5,0.2308867646626026,0
30,0.6666666666666666,0.4305084745762712,0.2076276664511958,0.33797281805527524,0.0,0.3246866703595229,0
31,0.9166666666666666,0.6610169491525424,0.21653129479216426,0.40553041100482434,0.0,0.5048991522707644,0
32,0.33333333333333337,0.3186440677966102,0.5137362637362636,0.24667686210741147,0.5,0.5604924586267139,1
33,0.33333333333333337,0.41016949152542376,0.6713440405748098,0.5281387797106725,0.0,0.5271267740190622,1
34,0.6666666666666666,0.488135593220339,0.4472527472527471,0.8133286053764446,0.0,0.7395859845286754,1
35,0.24999999999999997,0.4983050847457627,0.5541842772612003,0.28220683130333357,1.0000000000000002,0.6316168018540051,1
36,0.41666666666666663,0.3423728813559322,0.5039729501267963,0.34470138881168744,0.0,0.2934944661448732,0
37,0.16666666666666666,0.15932203389830507,0.9035714285714284,0.39637742412546273,0.5,0.42412236599134057,0
39,0.5833333333333334,0.6305084745762712,0.19213418160786577,0.5027443434204726,0.0,0.4684449227256372,0
40,0.33333333333333337,0.4135593220338983,0.5039729501267963,0.5192960686800587,0.0,0.060070790889354964,0
41,0.5,0.41016949152542376,0.5318681318681316,0.541724865637454,0.0,0.6255052360363786,1
42,0.41666666666666663,0.48474576271186437,0.4738461538461537,0.48269725478446457,0.0,0.5958824411454025,0
43,0.33333333333333337,0.33559322033898303,0.7857142857142857,0.40232716454966333,0.0,0.31326381053877217,0
44,0.5,0.5559322033898304,0.34841628959276005,0.3888863183801574,0.0,0.5980578879155829,1
45,0.16666666666666666,0.3932203389830508,0.8021978021978021,0.42887591305715267,1.0000000000000002,0.5491553983968649,1
46,0.33333333333333337,0.5423728813559323,0.401318681318681,0.5298915423578499,0.0,0.5730306475832818,1
47,0.24999999999999997,0.47118644067796606,0.5541842772612003,0.6139839316448807,0.0,0.5987937936504326,1
48,0.33333333333333337,0.24745762711864405,0.8417582417582415,0.6190359106504664,0.0,0.09613823404341171,0
49,0.33333333333333337,0.3186440677966102,0.20549450549450543,0.3597915161160261,0.0,0.19211164198196917,0
50,0.24999999999999997,0.3423728813559322,0.6835164835164834,0.39612843222017036,0.5,0.5262220438790948,1
51,0.24999999999999997,0.32881355932203393,0.7626373626373627,0.6017855109690731,0.5,0.4968582208625669,1
52,0.5833333333333334,0.6000000000000001,0.36263736263736246,0.4838055823632965,0.0,0.4600416753979275,0
53,0.5,0.488135593220339,0.6179945054945054,0.6453699513152042,0.0,0.590642679574316,1
54,0.33333333333333337,0.2542372881355932,0.5252747252747253,0.5253397115863538,0.0,0.6216585653019331,1
55,0.5833333333333334,0.7627118644067796,0.4847252747252747,0.6780547849286507,0.0,0.9308506423138281,1
56,0.33333333333333337,0.7525423728813558,0.43800904977375554,0.20700977424214817,0.5,0.6172702887465391,1
57,0.33333333333333337,0.4271186440677966,0.4872358410819947,0.6811660528080916,0.0,0.12479411757829983,0
58,0.5833333333333334,0.42033898305084744,0.4684065934065934,0.690337212890241,0.0,0.22696613629759876,0
59,0.41666666666666663,0.4033898305084746,0.6043956043956044,0.6267630265007706,0.0,0.6935390897976506,1
60,0.33333333333333337,0.23728813559322037,0.5450549450549452,0.711601822333209,0.0,0.5933374902546893,1
61,0.41666666666666663,0.4135593220338983,0.38681318681318677,0.49209726378264995,0.0,0.5845686497121692,1
62,0.24999999999999997,0.31186440677966104,0.6241758241758241,0.42887591305715267,0.0,0.4554190503800907,1
63,0.41666666666666663,0.3898305084745763,0.3246467817896389,0.5501720147877154,0.0,0.2745362741858658,0
64,0.5,0.5050847457627119,0.6315934065934065,0.3088914711354851,0.5,0.6645650682838675,1
65,0.5,0.4033898305084746,0.5318681318681316,0.301653570223953,0.0,0.21454121066652998,0
66,0.6666666666666666,0.42372881355932207,0.3612152553329022,0.5514407294123675,0.5,0.899801655903701,1
67,0.41666666666666663,0.4915254237288135,0.41582417582417575,0.31628944674292425,0.5,0.6804887688291812,1
68,0.33333333333333337,0.3389830508474576,0.38681318681318677,0.4586976133777898,0.5,0.4719423867217627,1
69,0.9999999999999999,0.7898305084745763,0.2361792054099746,0.6531966147336561,0.0,0.1310325365725945,0
70,0.5,0.2542372881355932,0.5039729501267963,0.6189007314948314,0.0,0.6638400431694076,1
71,0.33333333333333337,0.1559322033898305,0.6914285714285714,0.664282170902083,0.5,0.512687404211486,1
72,0.6666666666666666,0.6711864406779662,0.38681318681318677,0.48218093869952416,0.0,0.6892540698927792,1
73,0.5,0.39999999999999997,0.38681318681318677,0.7437248271152805,0.0,0.5555026235950533,1
74,0.41666666666666663,0.49491525423728816,0.4738461538461537,0.3275212327120258,0.0,0.607194222504186,1
75,0.5,0.4135593220338983,0.4448351648351646,0.6342852578629115,0.0,0.5013350717855483,1
76,0.33333333333333337,0.41016949152542376,0.587658495350803,0.5059050401586094,0.0,0.6058714624246404,1
77,0.41666666666666663,0.48135593220338985,0.5898901098901098,0.5397608264907177,0.0,0.41500737751944516,0
78,0.6666666666666666,0.6644067796610169,0.5391208791208789,0.46736553428126837,0.0,0.4776144453912914,0
80,0.41666666666666663,0.3220338983050848,0.8387151310228232,0.40840603112799423,0.0,0.653711168775486,1
81,0.75,0.33559322033898303,0.3612152553329022,0.434061738486631,0.0,0.28195255311026357,0
82,0.24999999999999997,0.24067796610169495,0.6696703296703296,0.39433220074064756,0.5,0.4972787415465716,1
83,0.5,0.7254237288135594,0.43262001156738006,0.5474010811060734,0.0,0.18357522722198372,0
85,0.75,0.6644067796610169,0.22103610675039242,0.3510374652410312,0.0,0.19846598983527197,0
86,0.41666666666666663,0.5491525423728814,0.7267857142857143,0.4682359800727427,0.5,0.8445813494499355,1
87,0.6666666666666666,0.5796610169491525,0.39826489300173484,0.34431972077569895,0.0,0.8161454816727198,1
88,0.41666666666666663,0.48135593220338985,0.2417582417582418,0.501807282699033,0.0,0.7268095580525775,1
89,0.41666666666666663,0.3152542372881356,0.4035502958579881,0.517519481408345,0.0,0.5213762350514639,0
90,0.33333333333333337,0.24406779661016947,0.4857142857142859,0.5795872938642352,0.5,0.4940232948838864,1
91,0.24999999999999997,0.576271186440678,0.682103610675039,0.4877793493916309,0.0,0.4840594869298075,1
92,0.24999999999999997,0.31186440677966104,0.4857142857142859,0.366608411791864,0.0,0.14054556348275016,0
93,0.75,0.49491525423728816,0.26084441873915554,0.38830996283202834,0.0,0.520600564800332,0
94,0.41666666666666663,0.640677966101695,0.4252100840336134,0.48386836525711097,0.0,0.8063298074661112,1
95,0.8333333333333334,0.5796610169491525,0.4075353218210359,0.5059437250480439,0.0,0.6237343822950545,0
96,0.33333333333333337,0.4135593220338983,0.35333896872358395,0.6631130260895952,0.0,0.6830809564694562,1
97,0.41666666666666663,0.4271186440677966,0.38681318681318677,0.4242588894719075,0.0,0.5597418706089294,1
98,0.41666666666666663,0.5084745762711864,0.5318681318681316,0.27674627852886746,0.5,0.554702548418269,1
99,0.5,0.42372881355932207,0.41582417582417575,0.6379218111477958,0.0,0.14463355239430564,0
100,0.5833333333333334,0.5796610169491525,0.48351648351648346,0.5036858417770442,0.0,0.5121745948918894,0
101,0.33333333333333337,0.47118644067796606,0.26248037676609093,0.5426923322987434,0.0,0.7226546030737664,1
102,0.6666666666666666,0.6677966101694914,0.33241758241758235,0.4734322788070753,0.0,0.6761006233655991,1
104,0.41666666666666663,0.32881355932203393,0.5374471682163987,0.5050067790918134,0.0,0.5807288831464847,1
105,0.5833333333333334,0.41016949152542376,0.3732142857142856,0.5394933332839205,0.0,0.028843060793674824,0
107,0.5833333333333334,0.4745762711864407,0.4636069812540401,0.8149908433288231,0.0,0.4736077115544911,0
108,0.41666666666666663,0.17966101694915254,0.5054945054945054,0.726423860524319,0.0,0.34929070262567485,0
109,0.41666666666666663,0.4135593220338983,0.21585557299843017,0.59877177904053,0.0,0.5046777600490666,1
110,0.5833333333333334,0.488135593220339,0.4636069812540401,0.2585898790384634,0.5,0.8276066421511867,1
111,0.5,0.6576271186440679,0.20549450549450543,0.495444376762167,0.0,0.03100279839506037,0
112,0.5,0.5016949152542374,0.6587912087912086,0.44376425138688735,1.0000000000000002,0.6934595389164504,1
114,0.16666666666666666,0.2338983050847458,0.7252747252747253,0.5036858417770442,0.0,0.5150406333272659,1
115,0.75,0.49491525423728816,0.4555234239444764,0.5814081521763099,0.0,0.3734933536123626,0
116,0.33333333333333337,0.26101694915254237,0.6043956043956044,0.548544069160821,0.0,0.4579090301043387,1
117,0.41666666666666663,0.4779661016949152,0.7349450549450548,0.8315537002075748,0.0,0.19822812374254262,0
118,0.41666666666666663,0.2677966101694915,0.568131868131868,0.7165456491230622,0.0,0.5006625707903976,1
119,0.41666666666666663,0.6271186440677967,0.655591467356173,0.4865416702540575,0.0,0.13240810480370868,0
120,0.5,0.3932203389830508,0.38681318681318677,0.6837102701883975,0.0,0.5961874043971993,1
121,0.8333333333333334,0.7152542372881356,0.36789297658862863,0.274197849902856,0.0,0.8809626700989996,1
122,0.24999999999999997,0.576271186440678,0.6043956043956044,0.5664652824730361,0.5,0.6374339136134235,1
123,0.5833333333333334,0.48474576271186437,0.5276018099547509,0.3859607537628942,0.5,0.8641776308034643,1
124,0.41666666666666663,0.39999999999999997,0.26248037676609093,0.38522507768520287,0.0,0.6084508904618886,0
125,0.41666666666666663,0.4915254237288135,0.27076923076923054,0.4305647252484963,0.0,0.017565865824602733,0
126,0.41666666666666663,0.5050847457627119,0.4448351648351646,0.6877950783671689,0.0,0.5340272722094599,1
127,0.41666666666666663,0.2542372881355932,0.6406593406593403,0.6050460594434106,0.0,0.6093276543486463,0
128,0.41666666666666663,0.3932203389830508,0.44897959183673464,0.6695006377947017,0.0,0.3721809497859586,0
129,0.16666666666666666,0.23728813559322037,0.48351648351648346,0.5036858417770442,0.0,0.25726453468994115,0
130,0.33333333333333337,0.32542372881355935,0.4593406593406594,0.5144286840757346,0.0,0.043922311583868834,0
131,0.5,0.6576271186440679,0.31428571428571406,0.6601239876939404,0.0,0.22378058341930218,0
132,0.5833333333333334,0.4135593220338983,0.6451923076923075,0.5555135441049053,0.0,0.6112721391948588,1
133,0.41666666666666663,0.583050847457627,0.30521978021978013,0.8078510476384286,0.0,0.23772320265424196,0
134,0.33333333333333337,0.3423728813559322,0.5862637362637358,0.4647241614540407,0.0,0.49520014977676474,1
135,0.41666666666666663,0.48135593220338985,0.575384615384615,0.682540880181107,0.0,0.6053623236757777,1
136,0.5,0.4169491525423729,0.401318681318681,0.4583459680284505,0.0,0.5513051730205445,1
137,0.6666666666666666,0.6576271186440679,0.34329670329670325,0.6589335068890716,0.0,0.014682894696853244,0
138,0.41666666666666663,0.4033898305084746,0.5577708006279433,0.5157515400282853,0.5,0.14588654978127436,0
139,0.33333333333333337,0.6474576271186441,0.3460164835164834,0.3894784258886168,0.0,0.6934747892639037,1
140,0.5,0.26440677966101694,0.4872358410819947,0.701283170004225,0.0,0.5413779396819918,1
141,0.5833333333333334,0.4067796610169491,0.4140109890109889,0.730621275005148,0.0,0.3193034724975604,0
142,0.5,0.8745762711864407,0.37645211930926215,0.4356767899793006,0.0,0.3090742910188846,0
143,0.5,0.49491525423728816,0.6451923076923075,0.5185729214808261,0.0,0.39214758735679767,0
144,0.33333333333333337,0.4983050847457627,0.682103610675039,0.44284332752944855,0.5,0.6705357104036798,1
145,0.5833333333333334,0.352542372881356,0.575384615384615,0.6103916937270697,0.0,0.06423621136448454,0
146,0.75,0.3898305084745763,0.2538461538461537,0.4332569970152056,0.0,0.7216797388144216,1
147,0.24999999999999997,0.17966101694915254,0.6285714285714287,0.7387448050358327,0.0,0.4144278643162166,1
148,0.5833333333333334,0.6542372881355931,0.5929438982070562,0.5770603818131776,0.0,0.7390467383603416,1
149,0.41666666666666663,0.33220338983050846,0.8052409129332206,0.3561154640925106,0.5,0.5614741833575492,1
150,0.9166666666666666,0.9762711864406781,0.20952380952380956,0.3955883969163021,0.0,0.2256873138236818,0
151,0.5,0.5627118644067797,0.514802844214609,0.5269432517604709,0.0,0.7540940464456978,1
152,0.24999999999999997,0.3389830508474576,0.7428571428571428,0.3002643752771277,0.0,0.45502245395176144,1
155,0.41666666666666663,0.43389830508474575,0.5888540031397173,0.4412042084157459,0.0,0.024669359685758896,0
156,0.41666666666666663,0.41016949152542376,0.38681318681318677,0.712209963270505,0.0,0.2213246657175182,0
157,0.8333333333333334,0.5627118644067797,0.3971742543171115,0.4585182164381132,0.0,0.5705647450551568,1
158,0.6666666666666666,0.7491525423728813,0.2521193092621663,0.5799588132297315,0.0,0.005742564215706403,0
159,0.75,0.993220338983051,0.29978021978021974,0.5292306502796484,0.0,0.5944987889192197,0
160,0.33333333333333337,0.4915254237288135,0.5577708006279433,0.41463476433900825,0.0,0.5505601345561315,1
161,0.6666666666666666,0.640677966101695,0.4847252747252747,0.6172342330772058,0.0,0.7484017340912275,1
162,0.41666666666666663,0.5627118644067797,0.4684065934065934,0.5794307134106005,0.0,0.5654690533853706,1
163,0.41666666666666663,0.5016949152542374,0.5898901098901098,0.5973361829738393,0.5,0.6382880641626252,1
164,0.33333333333333337,0.32542372881355935,0.5499999999999999,0.5118105442031962,0.0,0.5705710593107642,1
165,0.41666666666666663,0.39661016949152544,0.5266875981161695,0.38392739744484317,0.0,0.5398556797133387,1
166,0.5833333333333334,0.5728813559322035,0.3989010989010988,0.7498089221380333,0.0,0.2081268227633678,0
168,0.5,0.3220338983050848,0.6510204081632652,0.5264498309594219,0.5,0.6645721035444405,1
169,0.33333333333333337,0.3457627118644068,0.4412087912087911,0.4863692094703922,0.0,0.4547002302780616,1
170,0.5833333333333334,0.735593220338983,0.4629670329670329,0.650026332187418,0.0,0.15224513626982916,0
171,0.5833333333333334,0.4033898305084746,0.5092032967032966,0.2631292501726703,0.5,0.7103543457558334,1
172,0.5,0.32881355932203393,0.5422291993720564,0.4057708164639229,0.0,0.31018575294625017,0
173,0.6666666666666666,0.4983050847457627,0.30219780219780235,0.44221630122040634,0.0,0.6767776907255316,1
174,0.41666666666666663,0.3457627118644068,0.30312764158918015,0.47126481074652915,0.0,0.335575680624864,0
175,0.33333333333333337,0.3389830508474576,0.5137362637362636,0.668925974710826,0.0,0.5607437616301651,1
176,0.6666666666666666,0.4779661016949152,0.556043956043956,0.5957380698461319,0.0,0.3166224920033448,0
177,0.75,0.7389830508474575,0.2582417582417582,0.5856142867741323,0.0,0.2854196693519294,0
178,0.6666666666666666,0.33559322033898303,0.4004120879120878,0.48284645851407304,0.0,0.6990501677221415,1
179,0.8333333333333334,0.7220338983050847,0.31113234591495453,0.43159807205056455,0.0,0.21238341759368773,0
180,0.5833333333333334,0.42033898305084744,0.2780219780219779,0.3658058860740301,0.0,0.5690843033745063,0
181,0.33333333333333337,0.32881355932203393,0.4593406593406594,0.5636010911967846,0.0,0.1074700724494192,0
182,0.24999999999999997,0.41016949152542376,0.8038461538461535,0.4515327752937648,0.0,0.17896230299822913,0
184,0.41666666666666663,0.33220338983050846,0.4704987320371935,0.30204135602412374,0.5,0.6233081372685958,1
185,0.33333333333333337,0.4135593220338983,0.2696534234995772,0.358176850567548,0.0,0.4754872622565326,0
186,0.33333333333333337,0.3457627118644068,0.4412087912087911,0.3347481671638006,0.0,0.4674212486149876,1
187,0.41666666666666663,0.5016949152542374,0.4738461538461537,0.543032426989362,0.0,0.5964247461226808,0
189,0.41666666666666663,0.5661016949152542,0.33241758241758235,0.654067313852539,0.0,0.019613585472702533,0
190,0.5,0.4271186440677966,0.4303296703296703,0.4660565448304259,0.0,0.6073604250730655,0
191,0.41666666666666663,0.4169491525423729,0.5111459968602824,0.5107509250058888,0.0,0.6887104976946521,0
192,0.41666666666666663,0.4067796610169491,0.44897959183673464,0.474726044292193,0.5,0.6830387667546531,1
193,0.33333333333333337,0.3220338983050848,0.568131868131868,0.3001160179257657,0.5,0.5092980691115594,1
194,0.24999999999999997,0.2338983050847458,0.8219780219780218,0.6069855121816858,0.0,0.4642699543968728,1
195,0.33333333333333337,0.4915254237288135,0.6199372056514912,0.4862051260103153,0.0,0.05513666987776056,0
196,0.41666666666666663,0.3457627118644068,0.688081149619611,0.5525521553421449,0.5,0.7230165038692073,1
197,0.16666666666666666,0.03389830508474578,0.4956043956043955,0.7129760873670448,0.5,0.17948664839727468,1
198,0.24999999999999997,0.25084745762711863,0.4303296703296703,0.6985310296688743,0.0,0.6564831925330801,1
199,0.24999999999999997,0.2338983050847458,0.5391208791208789,0.1465273826837754,0.5,0.5066107962103716,1
200,0.33333333333333337,0.17288135593220338,0.36505494505494496,0.6542354161305499,0.0,0.41175112245725287,1
201,0.5,0.3423728813559322,0.41789638932496076,0.47949017349527123,0.0,0.4352660876472424,0
202,0.6666666666666666,0.6372881355932203,0.35417582417582405,0.3703291906821833,0.5,0.4407471018495328,0
204,0.6666666666666666,0.4135593220338983,0.4124111182934712,0.6739982755748173,0.0,0.32512606826444423,0
205,0.41666666666666663,0.5525423728813559,0.3460164835164834,0.22948364129430676,0.0,0.6339859149276625,1
207,0.41666666666666663,0.2338983050847458,0.6406593406593403,0.7271987757937899,0.0,0.5474176016407799,0
208,0.24999999999999997,0.3186440677966102,0.5450549450549452,0.5889824340254437,0.0,0.5648769990654681,1
