,avg_Segment_length,direct_distance,full_road_diversity,max_angle,max_pivot_off,mean_angle,mean_pivot_off,mean_road_diversity,median_angle,median_pivot_off,min_angle,min_pivot_off,num_l_turns,num_r_turns,num_straights,road_distance,safety,std_angle,std_pivot_off,test_duration,total_angle,uturns,test_id
0,21.641706736684423,46.28020318489158,257.7628508414829,291.24769032469726,99.52769046995238,17.098066775962625,34.385599664550455,36.823264405926125,-16.972941138835832,30.56259609053577,-60.76744990108296,0.0,1,5,1,151.491947156791,FAIL,122.95901532799904,33.62879915345091,13.83547306060791,119.68646743173836,0,Town1\00379_test.json
1,19.43733566938448,100.37885774567788,310.619962681891,279.90072562292283,68.74967228333115,24.905973344570032,29.282340692516577,34.51332918687678,-2.854842467489694,33.946035136806614,-35.431821527449635,0.0,2,4,3,174.9360210244603,FAIL,96.76491317145778,27.46038534791005,6.524249076843262,224.15376010113027,0,Town1\00378_test.json
2,16.437774306449214,108.2741854683698,265.4603817205413,19.997587034965196,54.40914157133832,-52.81005861371593,28.861481960635288,33.18254771506766,-3.886595550707607,35.55891787042143,-352.6141050273912,0.0,3,4,1,131.5021944515937,PASS,124.34959556838535,19.54609070080679,17.693522691726685,-422.48046890972745,0,Town1\00377_test.json
3,19.867822801768448,101.59197298463872,167.1455858916409,50.4607939342573,69.26524462200773,-4.532261279431335,44.07655730386025,23.877940841662987,-7.502839386035219,41.05729374449714,-49.125933258015046,23.40844465268952,3,4,0,139.07475961237913,FAIL,34.51180741502633,17.592309501991423,13.46087384223938,-31.725828956019345,0,Town1\00376_test.json
4,28.65228145065205,82.70358274160222,606.2932084732696,106.4488719505502,34.79088610593816,0.5635094410294629,22.27536792335163,121.25864169465392,-3.182545905852371,26.76933833632336,-104.69064699760104,0.0,2,2,1,143.26140725326027,FAIL,75.5627265465319,13.31261045686793,5.854907035827637,2.8175472051473065,0,Town1\00375_test.json
75,23.07849539894277,74.01681232524328,502.7536210446378,66.46492715813147,34.325046105991895,-12.874990895475946,24.42216726599589,71.82194586351969,0.0,27.05538165979812,-107.02001597173604,0.0,3,3,1,161.54946779259942,FAIL,58.644480332188856,11.812038668197,7.106902122497559,-90.1249362683316,0,Town1\00304_test.json
220,19.502309137500667,45.22898220575263,165.46744350934802,315.58396002037296,76.39644140448326,18.19508809128133,37.69450585264835,20.683430438668506,-15.708344793235892,36.3551266585289,-48.53853695650973,4.5321459457528,1,7,0,156.01847310000534,FAIL,121.18296303889753,21.432174113276357,13.576124668121338,145.56070473025065,0,Town1\00159_test.json
241,18.67606530706073,115.17961242834131,248.5275639305897,97.092445020355,44.4729310841921,2.857610181749358,19.778117403426982,31.06594549132372,-3.535045926333276,23.42346241643682,-41.20604835774763,0.0,2,3,3,149.40852245648583,FAIL,41.25459097632575,17.665553430622058,7.415826559066772,22.860881453994857,0,Town1\00138_test.json
245,20.96331875399116,80.14626231627273,448.16350420465074,42.11128286612917,34.13521651448914,-5.685227301268736,24.54955671628109,64.02335774352153,14.778468565364957,26.325601744883173,-115.08204825556008,0.0,4,2,1,146.7432312779381,FAIL,51.57530886100794,11.512821100073005,5.280392646789551,-39.796591108881145,0,Town1\00134_test.json
