,avg_Segment_length,direct_distance,full_road_diversity,max_angle,max_pivot_off,mean_angle,mean_pivot_off,mean_road_diversity,median_angle,median_pivot_off,min_angle,min_pivot_off,num_l_turns,num_r_turns,num_straights,road_distance,safety,std_angle,std_pivot_off,test_duration,total_angle,uturns,test_id
254,28.652281450652055,82.70358274160222,606.2932084732696,106.44887195055021,34.79088610593816,0.5635094410294629,22.27536792335163,121.25864169465392,-3.182545905852371,26.769338336323358,-104.69064699760104,0.0,2,2,1,143.26140725326027,FAIL,75.5627265465319,13.31261045686793,5.171433687210083,2.8175472051473065,0,Town1\00125_test.json
255,20.963318753991157,80.14626231627273,448.16350420465074,42.11128286612917,34.13521651448914,-5.685227301268736,24.549556716281092,64.02335774352153,14.778468565364957,26.325601744883173,-115.08204825556008,0.0,4,2,1,146.7432312779381,FAIL,51.57530886100794,11.512821100073003,5.099202394485474,-39.796591108881145,0,Town1\00124_test.json
256,18.676065307060732,115.17961242834133,248.52756393058974,97.092445020355,44.4729310841921,2.857610181749358,19.778117403426982,31.065945491323717,-3.535045926333276,23.42346241643682,-41.20604835774763,0.0,2,3,3,149.40852245648585,FAIL,41.25459097632575,17.665553430622058,7.394868612289429,22.860881453994857,0,Town1\00123_test.json
257,16.437774306449214,108.2741854683698,265.4603817205413,19.997587034965193,54.409141571338324,-52.81005861371593,28.861481960635288,33.18254771506766,-3.886595550707607,35.55891787042143,-352.6141050273912,0.0,3,4,1,131.5021944515937,PASS,124.34959556838537,19.54609070080679,14.300004005432129,-422.48046890972745,0,Town1\00122_test.json
258,19.867822801768448,101.59197298463872,167.1455858916409,50.4607939342573,69.26524462200773,-4.532261279431335,44.07655730386025,23.877940841662987,-7.502839386035219,41.05729374449714,-49.125933258015046,23.40844465268952,3,4,0,139.07475961237913,FAIL,34.51180741502633,17.592309501991423,12.812569379806519,-31.725828956019342,0,Town1\00121_test.json
259,28.652281450652055,82.70358274160222,606.2932084732696,106.44887195055021,34.79088610593816,0.5635094410294629,22.27536792335163,121.25864169465392,-3.182545905852371,26.769338336323358,-104.69064699760104,0.0,2,2,1,143.26140725326027,FAIL,75.5627265465319,13.31261045686793,5.030601978302002,2.8175472051473065,0,Town1\00120_test.json
260,20.963318753991157,80.14626231627273,448.16350420465074,42.11128286612917,34.13521651448914,-5.685227301268736,24.549556716281092,64.02335774352153,14.778468565364957,26.325601744883173,-115.08204825556008,0.0,4,2,1,146.7432312779381,FAIL,51.57530886100794,11.512821100073003,5.173485517501831,-39.796591108881145,0,Town1\00119_test.json
261,18.676065307060732,115.17961242834133,248.52756393058974,97.092445020355,44.4729310841921,2.857610181749358,19.778117403426982,31.065945491323717,-3.535045926333276,23.42346241643682,-41.20604835774763,0.0,2,3,3,149.40852245648585,FAIL,41.25459097632575,17.665553430622058,7.435400009155273,22.860881453994857,0,Town1\00118_test.json
262,16.437774306449214,108.2741854683698,265.4603817205413,19.997587034965193,54.409141571338324,-52.81005861371593,28.861481960635288,33.18254771506766,-3.886595550707607,35.55891787042143,-352.6141050273912,0.0,3,4,1,131.5021944515937,PASS,124.34959556838537,19.54609070080679,14.369417190551758,-422.48046890972745,0,Town1\00117_test.json
263,19.867822801768448,101.59197298463872,167.1455858916409,50.4607939342573,69.26524462200773,-4.532261279431335,44.07655730386025,23.877940841662987,-7.502839386035219,41.05729374449714,-49.125933258015046,23.40844465268952,3,4,0,139.07475961237913,FAIL,34.51180741502633,17.592309501991423,12.829894304275513,-31.725828956019342,0,Town1\00116_test.json
264,28.652281450652055,82.70358274160222,606.2932084732696,106.44887195055021,34.79088610593816,0.5635094410294629,22.27536792335163,121.25864169465392,-3.182545905852371,26.769338336323358,-104.69064699760104,0.0,2,2,1,143.26140725326027,FAIL,75.5627265465319,13.31261045686793,5.009340047836304,2.8175472051473065,0,Town1\00115_test.json
265,20.963318753991157,80.14626231627273,448.16350420465074,42.11128286612917,34.13521651448914,-5.685227301268736,24.549556716281092,64.02335774352153,14.778468565364957,26.325601744883173,-115.08204825556008,0.0,4,2,1,146.7432312779381,FAIL,51.57530886100794,11.512821100073003,5.189283132553101,-39.796591108881145,0,Town1\00114_test.json
266,18.676065307060732,115.17961242834133,248.52756393058974,97.092445020355,44.4729310841921,2.857610181749358,19.778117403426982,31.065945491323717,-3.535045926333276,23.42346241643682,-41.20604835774763,0.0,2,3,3,149.40852245648585,FAIL,41.25459097632575,17.665553430622058,7.269901275634766,22.860881453994857,0,Town1\00113_test.json
267,16.437774306449214,108.2741854683698,265.4603817205413,19.997587034965193,54.409141571338324,-52.81005861371593,28.861481960635288,33.18254771506766,-3.886595550707607,35.55891787042143,-352.6141050273912,0.0,3,4,1,131.5021944515937,PASS,124.34959556838537,19.54609070080679,14.392293453216553,-422.48046890972745,0,Town1\00112_test.json
268,19.867822801768448,101.59197298463872,167.1455858916409,50.4607939342573,69.26524462200773,-4.532261279431335,44.07655730386025,23.877940841662987,-7.502839386035219,41.05729374449714,-49.125933258015046,23.40844465268952,3,4,0,139.07475961237913,FAIL,34.51180741502633,17.592309501991423,12.660518169403076,-31.725828956019342,0,Town1\00111_test.json
269,28.652281450652055,82.70358274160222,606.2932084732696,106.44887195055021,34.79088610593816,0.5635094410294629,22.27536792335163,121.25864169465392,-3.182545905852371,26.769338336323358,-104.69064699760104,0.0,2,2,1,143.26140725326027,FAIL,75.5627265465319,13.31261045686793,5.0838563442230225,2.8175472051473065,0,Town1\00110_test.json
270,20.963318753991157,80.14626231627273,448.16350420465074,42.11128286612917,34.13521651448914,-5.685227301268736,24.549556716281092,64.02335774352153,14.778468565364957,26.325601744883173,-115.08204825556008,0.0,4,2,1,146.7432312779381,FAIL,51.57530886100794,11.512821100073003,5.0731894969940186,-39.796591108881145,0,Town1\00109_test.json
271,18.676065307060732,115.17961242834133,248.52756393058974,97.092445020355,44.4729310841921,2.857610181749358,19.778117403426982,31.065945491323717,-3.535045926333276,23.42346241643682,-41.20604835774763,0.0,2,3,3,149.40852245648585,FAIL,41.25459097632575,17.665553430622058,7.449832439422607,22.860881453994857,0,Town1\00108_test.json
