Instances,feature_direct_distance,feature_median_pivot_off,feature_min_angle,feature_num_r_turns,feature_road_distance,feature_std_pivot_off,feature_total_angle,feature_uturns,algo_safety
0,0.30787667862030876,0.5752468861539592,0.9009157781567363,0.8,0.4350578053001286,1.0000000000000002,0.9233473933485571,0.0,0
1,0.4422015104039865,0.43284606835613965,0.9999999999999999,0.2,0.36145297198032966,0.24232061893731383,0.8292879732668736,0.0,0
2,0.6241136414463128,1.0,0.7498969266516247,0.6000000000000001,0.2685992705767932,0.06674302429064144,0.0,0.0,0
3,0.3502568840427224,0.6564760563125447,0.7207693609009742,1.0000000000000002,0.6006803938150596,0.895349436298982,0.029786837069874395,0.0,1
4,0.34600258482385765,0.2756603699648216,0.8749133276682373,0.4000000000000001,0.3472855671440682,0.05885428667917242,0.8800898320502143,0.0,0
5,0.3702242264824088,0.0,0.6202508474566606,0.4000000000000001,0.4840974504810889,0.13768063752201132,0.17090896510814385,0.0,0
6,0.8179578625390734,0.8622116676238871,0.885889281104696,0.6000000000000001,0.6096506023220443,0.1802890864216643,0.3563715155169687,0.0,0
7,0.30787667862030876,0.5752468861539592,0.9009157781567363,0.8,0.4350578053001286,1.0000000000000002,0.9233473933485571,0.0,0
8,0.4422015104039865,0.43284606835613965,0.9999999999999999,0.2,0.36145297198032966,0.24232061893731383,0.8292879732668736,0.0,0
9,0.6241136414463128,1.0,0.7498969266516247,0.6000000000000001,0.2685992705767932,0.06674302429064144,0.0,0.0,0
10,0.3502568840427224,0.6564760563125447,0.7207693609009742,1.0000000000000002,0.6006803938150596,0.895349436298982,0.029786837069874395,0.0,1
11,0.34600258482385765,0.2756603699648216,0.8749133276682373,0.4000000000000001,0.3472855671440682,0.05885428667917242,0.8800898320502143,0.0,0
12,0.3702242264824088,0.0,0.6202508474566606,0.4000000000000001,0.4840974504810889,0.13768063752201132,0.17090896510814385,0.0,0
13,0.8179578625390734,0.8622116676238871,0.885889281104696,0.6000000000000001,0.6096506023220443,0.1802890864216643,0.3563715155169687,0.0,0
14,0.30787667862030876,0.5752468861539592,0.9009157781567363,0.8,0.4350578053001286,1.0000000000000002,0.9233473933485571,0.0,0
15,0.4422015104039865,0.43284606835613965,0.9999999999999999,0.2,0.36145297198032966,0.24232061893731383,0.8292879732668736,0.0,0
16,0.6241136414463128,1.0,0.7498969266516247,0.6000000000000001,0.2685992705767932,0.06674302429064144,0.0,0.0,0
17,0.3502568840427224,0.6564760563125447,0.7207693609009742,1.0000000000000002,0.6006803938150596,0.895349436298982,0.029786837069874395,0.0,1
18,0.34600258482385765,0.2756603699648216,0.8749133276682373,0.4000000000000001,0.3472855671440682,0.05885428667917242,0.8800898320502143,0.0,0
19,0.3702242264824088,0.0,0.6202508474566606,0.4000000000000001,0.4840974504810889,0.13768063752201132,0.17090896510814385,0.0,0
20,0.8179578625390734,0.8622116676238871,0.885889281104696,0.6000000000000001,0.6096506023220443,0.1802890864216643,0.3563715155169687,0.0,0
21,0.30787667862030876,0.5752468861539592,0.9009157781567363,0.8,0.4350578053001286,1.0000000000000002,0.9233473933485571,0.0,0
22,0.4422015104039865,0.43284606835613965,0.9999999999999999,0.2,0.36145297198032966,0.24232061893731383,0.8292879732668736,0.0,0
23,0.6241136414463128,1.0,0.7498969266516247,0.6000000000000001,0.2685992705767932,0.06674302429064144,0.0,0.0,0
24,0.3502568840427224,0.6564760563125447,0.7207693609009742,1.0000000000000002,0.6006803938150596,0.895349436298982,0.029786837069874395,0.0,1
25,0.34600258482385765,0.2756603699648216,0.8749133276682373,0.4000000000000001,0.3472855671440682,0.05885428667917242,0.8800898320502143,0.0,0
26,0.3702242264824088,0.0,0.6202508474566606,0.4000000000000001,0.4840974504810889,0.13768063752201132,0.17090896510814385,0.0,0
27,0.8179578625390734,0.8622116676238871,0.885889281104696,0.6000000000000001,0.6096506023220443,0.1802890864216643,0.3563715155169687,0.0,0
28,0.30787667862030876,0.5752468861539592,0.9009157781567363,0.8,0.4350578053001286,1.0000000000000002,0.9233473933485571,0.0,0
29,0.4422015104039865,0.43284606835613965,0.9999999999999999,0.2,0.36145297198032966,0.24232061893731383,0.8292879732668736,0.0,0
30,0.6241136414463128,1.0,0.7498969266516247,0.6000000000000001,0.2685992705767932,0.06674302429064144,0.0,0.0,0
31,0.3502568840427224,0.6564760563125447,0.7207693609009742,1.0000000000000002,0.6006803938150596,0.895349436298982,0.029786837069874395,0.0,1
32,0.34600258482385765,0.2756603699648216,0.8749133276682373,0.4000000000000001,0.3472855671440682,0.05885428667917242,0.8800898320502143,0.0,0
33,0.3702242264824088,0.0,0.6202508474566606,0.4000000000000001,0.4840974504810889,0.13768063752201132,0.17090896510814385,0.0,0
34,0.8179578625390734,0.8622116676238871,0.885889281104696,0.6000000000000001,0.6096506023220443,0.1802890864216643,0.3563715155169687,0.0,0
35,0.30787667862030876,0.5752468861539592,0.9009157781567363,0.8,0.4350578053001286,1.0000000000000002,0.9233473933485571,0.0,0
36,0.4422015104039865,0.43284606835613965,0.9999999999999999,0.2,0.36145297198032966,0.24232061893731383,0.8292879732668736,0.0,0
37,0.6241136414463128,1.0,0.7498969266516247,0.6000000000000001,0.2685992705767932,0.06674302429064144,0.0,0.0,0
