,avg_Segment_length,direct_distance,full_road_diversity,max_angle,max_pivot_off,mean_angle,mean_pivot_off,mean_road_diversity,median_angle,median_pivot_off,min_angle,min_pivot_off,num_l_turns,num_r_turns,num_straights,road_distance,safety,std_angle,std_pivot_off,test_duration,total_angle,test_id
0,23.425351173570583,151.0441458012382,331.49043506283704,60.97185848918017,112.29428116001452,-6.430505305595296,47.56676042182283,36.832270562537445,-8.876673193860121,48.29694964268287,-59.96538663735605,0,2,6,1,210.82816056213525,FAIL,35.48631185342253,30.874364337883065,21.537688493728638,-57.87454775035766,dest3\00009_test.json
1,15.08659192886044,15.001855349037745,60.917596051818514,46.21730101290412,59.68081481455335,-19.92010235883729,31.915679680520384,6.091759605181851,13.261491482072103,32.63034253635385,-342.16958370140014,0,8,1,1,150.8659192886044,FAIL,113.84514643046454,18.937556815235574,14.068856239318848,-199.20102358837286,dest3\00008_test.json
2,19.227445960014727,113.82965267131537,358.06557983976387,23.585938794292453,96.28074218537293,-8.020607666489804,40.19204845912342,29.838798319980324,-1.3163138749303989,44.21882751724884,-94.48520713252846,0,3,5,4,230.72935152017672,FAIL,29.871325151959606,34.398447445532916,34.27996277809143,-96.24729199787764,dest3\00007_test.json
3,19.246760119836278,106.79788098222268,378.5161068436654,128.80318181187377,173.48230598968198,-13.688586834131446,42.636576354010245,31.543008903638782,4.908633322598358,32.0150642990767,-351.8396815010201,0,6,2,4,230.96112143803532,FAIL,112.53827359332648,52.632877083396224,18.279731035232544,-164.26304200957733,dest3\00006_test.json
4,13.908395517295425,142.73223207518285,89.14485731066365,347.1326860777973,67.18912237122032,1.94250057975328,26.50942902852171,6.857296716204896,0.8078648855720455,31.04756929961017,-349.18820738683524,0,4,5,4,180.80914172484052,FAIL,142.76501831340036,26.54638740531957,17.710563898086548,25.25250753679261,dest3\00005_test.json
5,18.797941021988606,129.82149569706326,111.47368775329696,37.98096314463273,72.74801347290287,-42.44453398654661,29.933993689499893,13.93421096916212,-5.249485447368899,20.270595899329674,-324.87281383912426,0,1,4,3,150.38352817590885,FAIL,115.60617615292217,32.6495370338991,16.49719476699829,-339.55627189237293,dest3\00004_test.json
6,20.085604182226202,24.22581405600841,139.3163161011503,45.4293491342282,115.92633184494002,22.078516674000706,51.31147417472754,15.47959067790559,13.153793927494114,34.42864086946748,3.5198138588302026,0,8,0,1,180.77043764003582,FAIL,16.868086353704484,37.63306931946526,21.355480432510376,198.70665006600638,dest3\00003_test.json
7,23.366898408389886,148.33653521131805,159.11028084956413,12.788530824155806,325.9339163894553,-6.0512686240739635,79.47449757382591,17.678920094396016,-3.822284619842115,63.51222402482182,-48.8608469118924,0,2,4,3,210.30208567550898,FAIL,17.415407561986186,101.2452322290687,30.588361263275146,-54.46141761666566,dest3\00002_test.json
8,15.602144108033237,117.37251326213928,40.33606188544783,355.7896652364043,58.377712124294575,4.75863698498233,24.55112802548451,4.481784653938648,-2.721497571294997,30.2206575688533,-326.9613642471387,0,4,3,2,140.41929697229912,FAIL,171.03858178354395,23.252723310145758,13.295490264892578,42.82773286484094,dest3\00001_test.json
9,20.067363921357778,24.48990047911728,138.11654774063487,49.44061378518662,99.18828079660757,-20.854890300249657,34.9899028100966,13.811654774063488,8.626431044342716,33.94374459264087,-347.8029755983667,0,6,1,3,200.6736392135778,FAIL,115.8388355551397,35.79690048958183,20.17626428604126,-208.54890300249656,dest3\00000_test.json
